PWSID,PWSID_URL,ac_address,ac_addressURL,ac_phone1Type,ac_phone1,ac_phone2Type,ac_phone2,ac_email,ac2_address,ac2_addressURL,ac2_phone1Type,ac2_phone1,ac2_phone2Type,ac2_phone2,ac2_email,pl_address,pl_addressURL,pl_phone1Type,pl_phone1,pl_phone2Type,pl_phone2,pl_email,pl2_address,pl2_addressURL,pl2_phone1Type,pl2_phone1,pl2_phone2Type,pl2_phone2,pl2_email,healthDistrictName,healthDistrictPhone,healthDistrictEmail,healthDistrictAddress
CA1503646   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1721&tinwsys_st_code=CA&wsnumber=CA1503646   ,"920 VALLEY BLVD.

	
	

	
    
    
    

	TEHACHAPI,CA93561",http://maps.google.com/maps?q=920 VALLEY BLVD.  TEHACHAPI CA 93561,Business,661-822-3813   ,,,,,,,,,,,CA1503646-CHRISTIAN LIFE ASSEMBLY WATER,,,,,,,,,,,,,,DISTRICT 19 - TEHACHAPI,"
   
	
	  
      661-335-7315   
   	 
     
    ",dwpdist19@waterboards.ca.gov ,"4925 COMMERCE DRIVE, SUITE 120 

    
    BAKERSFIELD 
    CA 93309"
CA1300657   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9630&tinwsys_st_code=CA&wsnumber=CA1300657   ,"2225 Ferguson Road

	
	

	
    
    
    

	WINTERHAVEN,CA92283",http://maps.google.com/maps?q=2225 Ferguson Road  WINTERHAVEN CA 92283,Business,928-750-1691   ,,,,,,,,,,,CA1300657-CHRISTIAN SERVICE CENTER,,,,,,,,,,,,,,LPA43 - IMPERIAL COUNTY,"
   
	
	  
      442-265-1888   
   	 
     
    ",envhealth@co.imperial.ca.us ,"797 Main St, Ste B 

    
    EL CENTRO 
    CA 92243"
CA3110034   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3446&tinwsys_st_code=CA&wsnumber=CA3110034   ,"P.O. BOX 6857

	
	

	
    
    
    

	AUBURN,CA95604",http://maps.google.com/maps?q=P.O. BOX 6857  AUBURN CA 95604,Business,530-878-8050   ,,,,,,,,,,,CA3110034-CHRISTIAN VALLEY PARK CSD,,,,,,,,,,,,,,DISTRICT 02 - LASSEN,"
   
	
	  
      530-224-4800   
   	 
     
    ",DWPRedding@waterboards.ca.gov ,"364 Knollcrest Dr. Suite 101 

    
    REDDING 
    CA 96002"
CA4000642   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9428&tinwsys_st_code=CA&wsnumber=CA4000642   ,"STAR ROUTE 2648A

	
	

	
    
    
    

	BRADLEY,CA93426",http://maps.google.com/maps?q=STAR ROUTE 2648A  BRADLEY CA 93426,Business,831-663-5084   ,,,,,,,,,,,CA4000642-CHRISTMAS COVE,,,,,,,,,,,,,,LPA70 - SAN LUIS OBISPO COUNTY,"
   
	
	  
      805-781-5544   
   	 
     
    ",lterry@co.slo.ca.us ,"P.O. Box 1489 

    
    SAN LUIS OBISPO 
    CA 93406"
CA4300957   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=4316&tinwsys_st_code=CA&wsnumber=CA4300957   ,"305 BLOOMFIELD AVENUE

	
	

	
    
    
    

	GILROY,CA95020",http://maps.google.com/maps?q=305 BLOOMFIELD AVENUE  GILROY CA 95020,Business,408-848-9282   ,,,,,,,,,,,CA4300957-CHRISTOPHER RANCH L.L.C.,,,,,,,,,,,,,,DISTRICT 17 - SANTA CLARA,"
   
	
	  
      510-620-3474   
   	 
     
    ",,"850 MARINA BAY PARKWAY 

    
    RICHMOND 
    CA 94804-6403"
CA3310802   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3585&tinwsys_st_code=CA&wsnumber=CA3310802   ,"P.O. Box 2289

	
	

	
    
    
    

	BLYTHE,CA92226",http://maps.google.com/maps?q=P.O. Box 2289  BLYTHE CA 92226,Business,760-922-5300   EXT. 7300 ,,,,,,,,,,,CA3310802-CHUCKAWALLA VALLEY/IRONWOOD ST,,,,,,,,,,,,,,DISTRICT 20 - RIVERSIDE,"
   
	
	  
      619-525-4159   
   	 
     
    ",,"1350 FRONT STREET ROOM 2050 

    
    SAN DIEGO 
    CA 92101"
CA3301140   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14403&tinwsys_st_code=CA&wsnumber=CA3301140   ,"25300 RICE RD

	
	

	
    
    
    

	DESERT CENTER,CA92239",http://maps.google.com/maps?q=25300 RICE RD  DESERT CENTER CA 92239,Business,760-227-3100   ,,,,,,,,,,,CA3301140-CHUCKWALLA VALLEY RACEWAY WATE,,Business,760-837-1880   ,,,WWW.GORACECVR.COM,,,,,,,,LPA63 - RIVERSIDE COUNTY,"
   
	
	  
      760-863-7570   
   	 
     
    ",www.rivcoeh.org ,"47-950 Arabia St., Ste. A 

    
    INDIO 
    CA 92201"
CA2090005   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2719&tinwsys_st_code=CA&wsnumber=CA2090005   ,"46575 ROAD 417

	
	

	
    
    
    

	COARSEGOLD,CA93614",http://maps.google.com/maps?q=46575 ROAD 417  COARSEGOLD CA 93614,Business,559-683-6633   ,,,,,,,,,,,CA2090005-CHUKCHANSI INDIAN HOTEL-CASINO,,,,,,,,,,,,,,DISTRICT 11 - MERCED,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist11@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
CA4290005   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14649&tinwsys_st_code=CA&wsnumber=CA4290005   ,"3400 East Highway 246

	
	

	
    
    
    

	SANTA YNEZ,CA93460",http://maps.google.com/maps?q=3400 East Highway 246  SANTA YNEZ CA 93460,,,,,,,,,,,,,CA4290005-CHUMASH CASINO RESORT RW,,,,,,,,,,,,,,DISTRICT 06 - SANTA BARBARA,"
   
	
	  
      805-566-1326   
   	 
     
    ",,"1180 EUGENIA PLACE SUITE 200 

    
    CARPENTERIA 
    CA 93013"
CA5102009   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=5670&tinwsys_st_code=CA&wsnumber=CA5102009   ,"P.O. BOX 1630

	
	

	
    
    
    

	YUBA CITY,CA95992",http://maps.google.com/maps?q=P.O. BOX 1630  YUBA CITY CA 95992,Business,530-671-3160   ,,,,,,,,,,,CA5102009-CHURCH OF GLAD TIDINGS,,Business,530-671-3160   ,,,www.churchofgladtidings.com,,,,,,,,DISTRICT 21 - VALLEY,"
   
	
	  
      530-224-4800   
   	 
     
    ",dwpdist21@waterboards.ca.gov ,"364 Knollcrest Dr., Suite 101 

    
    REDDING 
    CA 96002"
CA3901399   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=6917&tinwsys_st_code=CA&wsnumber=CA3901399   ,"3112 LOOMIS RD

	
	

	
    
    
    

	STOCKTON,CA95205",http://maps.google.com/maps?q=3112 LOOMIS RD  STOCKTON CA 95205,,,,,,,,,,,,,CA3901399-CHURCH OF JESUS CHRIST OF LDS,,,,,,,,,,,,,,LPA69 - SAN JOAQUIN COUNTY,"
   
	
	  
      209-468-0343   
   	 
     
    ",aellsaesser@sjcehd.com ,"1868 East Hazelton Ave 

    
    STOCKTON 
    CA 95205"
CA3400460   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14210&tinwsys_st_code=CA&wsnumber=CA3400460   ,"1510 W CENTURY BLVD

	
	

	
    
    
    

	LODI,CA95242",http://maps.google.com/maps?q=1510 W CENTURY BLVD  LODI CA 95242,Business,209-477-5134   ,,,,,,,,,,,CA3400460-CHURCH OF JESUS CHRIST OF LDS,,,,,,,,,,,,,,LPA64 - SACRAMENTO COUNTY,"
   
	
	  
      916-875-8550   
   	 
     
    ",EMDInfo@saccounty.net ,"10590 Armstrong Ave 

    
    MATHER 
    CA 95655"
CA5200714   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14775&tinwsys_st_code=CA&wsnumber=CA5200714   ,"P.O. BOX 842

	
	

	
    
    
    

	ANDERSON,CA96007",http://maps.google.com/maps?q=P.O. BOX 842  ANDERSON CA 96007,Business,530-365-3362   ,,,,,,,,,,,CA5200714 CHURCH OF LATTER DAY SAINTS,,,,,,,,,,,,,,LPA82 - TEHAMA COUNTY,"
   
	
	  
      530-527-8020   
   	 
     
    ",tbranton@co.tehama.ca.us ,"633 Washington Street Rm. 36 

    
    RED BLUFF 
    CA 96080"
CA3600704   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=10328&tinwsys_st_code=CA&wsnumber=CA3600704   ,"P O BOX 631

	
	

	
    
    
    

	BLUE JAY,CA92317",http://maps.google.com/maps?q=P O BOX 631  BLUE JAY CA 92317,Business,909-338-2973   ,,,,,,,,,,,CA3600704-CHURCH OF SPIRITUAL TECHNOLOGY,,,,,,,,,,,,,,LPA66 - SAN BERNARDINO COUNTY,"
   
	
	  
      800-442-2283   
   	 
     
    ",EHS.CustomerService@dph.sbcounty.gov ,"385 N. Arrowhead Ave., Second Floor 

    
    SAN BERNARDINO 
    CA 92415"
CA2702050   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9233&tinwsys_st_code=CA&wsnumber=CA2702050   ,"301 CORRAL DE TIERRA ROAD

	
	

	
    
    
    

	SALINAS,CA93908",http://maps.google.com/maps?q=301 CORRAL DE TIERRA ROAD  SALINAS CA 93908,Business,831-484-2153   ,,,,,,,,,,,CA2702050-CHURCH OF THE GOOD SHEPHERD WS,,,,,,,,,,,,,,LPA57 - MONTEREY COUNTY,"
   
	
	  
      831-755-4505   
   	 
     
    ",,"1270 Natividad Rd. 

    
    SALINAS 
    CA 93907"
CA1000457   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=679&tinwsys_st_code=CA&wsnumber=CA1000457   ,"P.O. BOX 496

	
	

	
    
    
    

	SELMA,CA93662",http://maps.google.com/maps?q=P.O. BOX 496  SELMA CA 93662,Business,559-896-6458   ,,,,,,,,,,,CA1000457-CHURCH OF THE REDEEMER,,,,,,,,,,,,,,DISTRICT 23 - FRESNO,"
   
	
	  
      559-447-3300   
   	 
     
    ",,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93704"
CA4500231   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=8037&tinwsys_st_code=CA&wsnumber=CA4500231   ,"7335 Churn Creek Rd

	
	

	
    
    
    

	REDDING,CA96002",http://maps.google.com/maps?q=7335 Churn Creek Rd  REDDING CA 96002,Business,530-221-3219   ,,,,,,,,,,,CA4500231-CHURN CREEK GOLF COURSE,,Business,530-222-6353   ,,,http://www.ccgagolfredding.com/http://www.ccgagolfredding.com/,,,,,,,,LPA75 - SHASTA COUNTY,"
   
	
	  
      530-225-5787   
   	 
     
    ",,"1855 Placer St., Ste. 201 

    
    REDDING 
    CA 96001"
CA3700025   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9921&tinwsys_st_code=CA&wsnumber=CA3700025   ,"10845 RANCHO BERNARDO RD #200

	
	

	
    
    
    

	SAN DIEGO,CA92127",http://maps.google.com/maps?q=10845 RANCHO BERNARDO RD #200  SAN DIEGO CA 92127,,,,,,,,,,,,,CA3700025-CIBBETTS FLATS CAMPGROUND,,,,,,,,,,,,,,LPA67 - SAN DIEGO COUNTY,"
   
	
	  
      858-694-3113   
   	 
     
    ",jamelle.mccullough@sdcounty.ca.gov ,"5500 Overland Ave, Ste. 210 

    
    SAN DIEGO 
    CA 92123"
CA3301699   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9752&tinwsys_st_code=CA&wsnumber=CA3301699   ,"54270 Pine Crest Ave. PO Box 518

	
	

	
    
    
    

	IDYLLWILD,CA92549",http://maps.google.com/maps?q=54270 Pine Crest Ave. PO Box 518  IDYLLWILD CA 92549,Business,909-382-2934   ,,,,,,,,,,,CA3301699-CINCO POSES CAMP - USFS,,Business,951-659-2117   ,,,javier.diaz@usda.gov,,,,,,,,LPA63 - RIVERSIDE COUNTY,"
   
	
	  
      760-863-7570   
   	 
     
    ",www.rivcoeh.org ,"47-950 Arabia St., Ste. A 

    
    INDIO 
    CA 92201"
CA4900716   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=4980&tinwsys_st_code=CA&wsnumber=CA4900716   ,"286 Skillman Lane

	
	

	
    
    
    

	PETALUMA,CA94953",http://maps.google.com/maps?q=286 Skillman Lane  PETALUMA CA 94953,Business,707-765-4345   ,,,,,,,,,,,CA4900716-CINNABAR ELEMENTARY SCHOOL,,,,,,,,,,,,,,DISTRICT 18 - SONOMA,"
   
	
	  
      707-576-2145   
   	 
     
    ",,"50 D STREET SUITE 200 

    
    SANTA ROSA 
    CA 95404"
CA4300986   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=4335&tinwsys_st_code=CA&wsnumber=CA4300986   ,"1122 WILLOW STREET

	
	

	
    
    
    

	SAN JOSE,CA95125",http://maps.google.com/maps?q=1122 WILLOW STREET  SAN JOSE CA 95125,Business,408-279-5200   ,,,,,,,,,,,CA4300986-CINNABAR HILLS GOLF CLUB,,,,,,,,,,,,,,DISTRICT 17 - SANTA CLARA,"
   
	
	  
      510-620-3474   
   	 
     
    ",,"850 MARINA BAY PARKWAY 

    
    RICHMOND 
    CA 94804-6403"
CA4901027   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=5202&tinwsys_st_code=CA&wsnumber=CA4901027   ,"3333 Petaluma Boulevard

	
	

	
    
    
    

	PETALUMA,CA94952",http://maps.google.com/maps?q=3333 Petaluma Boulevard  PETALUMA CA 94952,Business,707-490-9982   ,,,,,,,,,,,CA4901027 - CINNABAR THEATER,,,,,,,,,,,,,,DISTRICT 18 - SONOMA,"
   
	
	  
      707-576-2145   
   	 
     
    ",,"50 D STREET SUITE 200 

    
    SANTA ROSA 
    CA 95404"
CA4200562   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9557&tinwsys_st_code=CA&wsnumber=CA4200562   ,"1800 REFUGIO RD.

	
	

	
    
    
    

	GOLETA,CA93117",http://maps.google.com/maps?q=1800 REFUGIO RD.  GOLETA CA 93117,Business,805-968-1113   ,,,,,,,,,,,CA4200562-CIRCLE BAR B GUEST RANCH,,,,,,,,,,,,,,LPA72 - SANTA BARBARA COUNTY,"
   
	
	  
      805-346-8466   
   	 
     
    ",belinda.huy@sbcphd.org ,"2125 Centerpointe Parkway 

    Room 333,

    SANTA MARIA 
    CA 93455"
CA5403153   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14960&tinwsys_st_code=CA&wsnumber=CA5403153   ,"P.O. BOX 339

	
	

	
    
    
    

	SPRINGVILLE,CA93265",http://maps.google.com/maps?q=P.O. BOX 339  SPRINGVILLE CA 93265,Business,559-302-3661   ,,,,,,,,,,,CA5403153-CIRCLE J - NORRIS RANCH,,Business,559-539-2263   ,,,,,,,,,,,DISTRICT 24 - TULARE,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist24@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93704"
CA2800521   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9319&tinwsys_st_code=CA&wsnumber=CA2800521   ,"P.O. BOX 9163

	
	

	
    
    
    

	NAPA,CA94558",http://maps.google.com/maps?q=P.O. BOX 9163  NAPA CA 94558,Business,707-966-1607   ,,,,,,,,,,,CIRCLE OAKS WATER DISTRICT,,Business,707-254-7796   ,,,,,,,,,,,LPA58 - NAPA COUNTY,"
   
	
	  
      707-253-4471   
   	 
     
    ",stacey.harrington@countyofnapa.org ,"1195 Third Street, Ste. 210 

    
    NAPA 
    CA 94559"
CA4200818   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=9567&tinwsys_st_code=CA&wsnumber=CA4200818   ,"2550 HIGHWAY 154

	
	

	
    
    
    

	SANTA BARBARA,CA93105",http://maps.google.com/maps?q=2550 HIGHWAY 154  SANTA BARBARA CA 93105,Business,805-688-5252   ,,,,,,,,,,,CA4200818-CIRCLE V RANCH CAMP,,,,,,,,,,,,,,LPA72 - SANTA BARBARA COUNTY,"
   
	
	  
      805-346-8466   
   	 
     
    ",belinda.huy@sbcphd.org ,"2125 Centerpointe Parkway 

    Room 333,

    SANTA MARIA 
    CA 93455"
CA3100008   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=8685&tinwsys_st_code=CA&wsnumber=CA3100008   ,"2317 ROBALO CT

	
	

	
    
    
    

	GOLD RIVER,CA95670",http://maps.google.com/maps?q=2317 ROBALO CT  GOLD RIVER CA 95670,,,,,,,,,,,,,CA3100008-CISCO GAS & FOOD,,,,,,,,,,,,,,LPA61 - PLACER COUNTY,"
   
	
	  
      530-745-2300   
   	 
     
    ",environmentalhealth@placer.ca.gov ,"3091 County Center Drive, Ste. 180 

    
    AUBURN 
    CA 95603"
CA3410006   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3614&tinwsys_st_code=CA&wsnumber=CA3410006   ,"6230 Sylvan Road

	
	

	
    
    
    

	CITRUS HEIGHTS,CA95610",http://maps.google.com/maps?q=6230 Sylvan Road  CITRUS HEIGHTS CA 95610,Business,916-725-6873   ,,,,,,,,,,,CA3410006-CITRUS HEIGHTS WATER DISTRICT,,,,,,,,,,,,,,DISTRICT 09 - SACRAMENTO,"
   
	
	  
      916-449-5600   
   	 
     
    ",,"1616 CAPITOL AVE. MS 7407 P.O. BOX 99737 

    
    SACRAMENTO 
    CA 95899-7377"
CA1995019   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=14614&tinwsys_st_code=CA&wsnumber=CA1995019   ,"23920 Valencia Blvd. Suite 300

	
	

	
    
    
    

	SANTA CLARITA,CA91355",http://maps.google.com/maps?q=23920 Valencia Blvd. Suite 300  SANTA CLARITA CA 91355,Business,661-255-4363   ,,,,,,,,,,,CA1995019-CITY OF SANTA CLARITA,,,,,,,,,,,,,,DISTRICT 22 - ANGELES,"
   
	
	  
      818-551-2004   
   	 
     
    ",,"500 N. Central Ave. Suite 500 

    
    GLENDALE 
    CA 91203"
CA2300731   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2930&tinwsys_st_code=CA&wsnumber=CA2300731   ,"P. O. BOX 217

	
	

	
    
    
    

	TALMAGE,CA95481",http://maps.google.com/maps?q=P. O. BOX 217  TALMAGE CA 95481,Business,707-468-1220   ,,,,,,,,,,,"CA2300731-CITY OF 10,000 BUDDHAS",,Business,707-391-5014   ,,,,,,,,,,,DISTRICT 03 - MENDOCINO,"
   
	
	  
      707-576-2145   
   	 
     
    ",,"50 D STREET SUITE 200 

    
    SANTA ROSA 
    CA 95404"
CA1910001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2480&tinwsys_st_code=CA&wsnumber=CA1910001   ,"111 S. FIRST ST.

	
	

	
    
    
    

	ALHAMBRA,CA91801",http://maps.google.com/maps?q=111 S. FIRST ST.  ALHAMBRA CA 91801,Business,626-570-3274   ,,,,,,,,,,,CA1910001-CITY OF ALHAMBRA,,,,,,,,,,,,,,DISTRICT 16 - CENTRAL,"
   
	
	  
      818-551-2004   
   	 
     
    ",,"500 N. Central Ave. Suite 500 

    
    GLENDALE 
    CA 91203"
CA2510001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3135&tinwsys_st_code=CA&wsnumber=CA2510001   ,"City Clerk, City of Alturas

	
	

	
    
    
    

	ALTURAS,CA96101","http://maps.google.com/maps?q=City Clerk, City of Alturas  ALTURAS CA 96101",Business,530-233-2512   ,,,,,,,,,,,CA2510001-CITY OF ALTURAS,,,,,,,,,,,,,,DISTRICT 01 - KLAMATH,"
   
	
	  
      530-224-4800   
   	 
     
    ",,"364 Knollcrest Dr. Suite 101 

    
    REDDING 
    CA 96002"
CA2890003   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3240&tinwsys_st_code=CA&wsnumber=CA2890003   ,"2185 ELLIOTT DRIVE

	
	

	
    
    
    

	AMERICAN CANYON,CA94589",http://maps.google.com/maps?q=2185 ELLIOTT DRIVE  AMERICAN CANYON CA 94589,Business,707-647-4360   ,,,,,,,,,,,CA2890003-CITY OF AMERICAN CANYON-RECYCL,,,,,,,,,,,,,,DISTRICT 03 - MENDOCINO,"
   
	
	  
      707-576-2145   
   	 
     
    ",,"50 D STREET SUITE 200 

    
    SANTA ROSA 
    CA 95404"
CA3010001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3352&tinwsys_st_code=CA&wsnumber=CA3010001   ,"201 S. Anaheim Blvd., Suite 601

	
	

	
    
    
    

	ANAHEIM,CA92805","http://maps.google.com/maps?q=201 S. Anaheim Blvd., Suite 601  ANAHEIM CA 92805",Business,714-765-4956   ,,,,,,,,,,,CA3010001-CITY OF ANAHEIM,,,,,,http://www.anaheim.net/,,,,,,,,DISTRICT 08 - SANTA ANA,"
   
	
	  
      714-558-4410   
   	 
     
    ",Dwpdist08@waterboards.ca.gov ,"2 MacArthur Place 

    Suite 150,

    SANTA ANA 
    CA 92707"
CA3090012   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=10456&tinwsys_st_code=CA&wsnumber=CA3090012   ,"201 S Anaheim Blvd, #601

	
	

	
    
    
    

	ANAHEIM,CA92805","http://maps.google.com/maps?q=201 S Anaheim Blvd, #601  ANAHEIM CA 92805",Business,714-765-5268   ,,,,,,,,,,,,,,,,,,,,,,,,,DISTRICT 08 - SANTA ANA,"
   
	
	  
      714-558-4410   
   	 
     
    ",Dwpdist08@waterboards.ca.gov ,"2 MacArthur Place 

    Suite 150,

    SANTA ANA 
    CA 92707"
CA4510001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=4420&tinwsys_st_code=CA&wsnumber=CA4510001   ,"1887 Howard St

	
	

	
    
    
    

	ANDERSON,CA96007",http://maps.google.com/maps?q=1887 Howard St  ANDERSON CA 96007,Business,530-378-6626   ,,,,,,,,,,,CA4510001-CITY OF ANDERSON,,,,,,,,,,,,,,DISTRICT 02 - LASSEN,"
   
	
	  
      530-224-4800   
   	 
     
    ",DWPRedding@waterboards.ca.gov ,"364 Knollcrest Dr. Suite 101 

    
    REDDING 
    CA 96002"
CA0710001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=190&tinwsys_st_code=CA&wsnumber=CA0710001   ,"PO BOX 5007

	
	

	
    
    
    

	ANTIOCH,CA94531-5007",http://maps.google.com/maps?q=PO BOX 5007  ANTIOCH CA 94531-5007,Business,925-779-7028   ,,,,,,,,,,,CA0710001-CITY OF ANTIOCH,,,,,,,,,,,,,,DISTRICT 04 - SAN FRANCISCO,"
   
	
	  
      510-620-3474   
   	 
     
    ",,"850 MARINA BAY PARKWAY BLDG. P, SECOND F 

    
    RICHMOND 
    CA 94804-6403"
CA1910003   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2482&tinwsys_st_code=CA&wsnumber=CA1910003   ,"11800 GOLDRING ROAD

	
	

	
    
    
    

	ARCADIA,CA91006",http://maps.google.com/maps?q=11800 GOLDRING ROAD  ARCADIA CA 91006,Business,626-254-2705   ,,,,,,,,,,,CA1910003-CITY OF ARCADIA,,,,,,,,,,,,,,DISTRICT 22 - ANGELES,"
   
	
	  
      818-551-2004   
   	 
     
    ",,"500 N. Central Ave. Suite 500 

    
    GLENDALE 
    CA 91203"
CA1590008   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1801&tinwsys_st_code=CA&wsnumber=CA1590008   ,"200 CAMPUS DRIVE

	
	

	
    
    
    

	ARVIN,CA93203",http://maps.google.com/maps?q=200 CAMPUS DRIVE  ARVIN CA 93203,Business,559-447-3398   ,,,,,,,,,,,CA1590008-CITY OF ARVIN,,,,,,,,,,,,,,DISTRICT 12 - VISALIA,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist12@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
CA2410001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=3043&tinwsys_st_code=CA&wsnumber=CA2410001   ,"470 Aviator Drive

	
	

	
    
    
    

	ATWATER,CA95301",http://maps.google.com/maps?q=470 Aviator Drive  ATWATER CA 95301,Business,209-357-6372   ,,,,,,,,,,,"CA2410001-ATWATER, CITY OF",,,,,,,,,,,,,,DISTRICT 11 - MERCED,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist11@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
CA1690001   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1820&tinwsys_st_code=CA&wsnumber=CA1690001   ,"DEPARTMENT OF GENERAL SERVICES

	
	

	
    
    
    

	SACRAMENTO,CA95814",http://maps.google.com/maps?q=DEPARTMENT OF GENERAL SERVICES  SACRAMENTO CA 95814,Business,916-324-0301   ,,,,,,,,,,,CA1690001-CITY OF AVENAL,,,,,,,,,,,,,,DISTRICT 12 - VISALIA,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist12@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
CA1590005   ,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=1798&tinwsys_st_code=CA&wsnumber=CA1590005   ,"1501 TUXTON AVENUE

	
	

	
    
    
    

	BAKERSFIELD,CA93301",http://maps.google.com/maps?q=1501 TUXTON AVENUE  BAKERSFIELD CA 93301,Business,559-447-3398   ,,,,,,,,,,,CA1590005-CITY OF BAKERSFIELD,,,,,,,,,,,,,,DISTRICT 12 - VISALIA,"
   
	
	  
      559-447-3300   
   	 
     
    ",dwpdist12@waterboards.ca.gov ,"265 W. BULLARD AVE., SUITE 101 

    
    FRESNO 
    CA 93720"
